"","Taxon","SLA","SLA.units","SLAfromLMA","source"
"1669","Casuarina littoralis",NA,"",NA,"AUSTRAITS_dataset_26"
"47","Cayratia clematidea",NA,"",NA,"AUSTRAITS_dataset_68"
"111","Cayratia clematidea",NA,"",NA,"AUSTRAITS_dataset_68"
"112","Cayratia clematidea",NA,"",NA,"AUSTRAITS_dataset_68"
"113","Cayratia clematidea",NA,"",NA,"AUSTRAITS_dataset_68"
"114","Cayratia clematidea",NA,"",NA,"Gallagher_field_workPHD"
"134","Cayratia clematidea",NA,"",NA,"Gallagher_field_workPHD"
"162","Cayratia clematidea",NA,"",NA,"AUSTRAITS_dataset_68"
"173","Cayratia clematidea",NA,"",NA,"Gallagher_field_workPHD"
"208","Cayratia clematidea",NA,"",NA,"AUSTRAITS_dataset_49"
"1046","Cayratia clematidea",18.52,"m2/kg",NA,"AUSTRAITS_dataset_10"
"1228","Cayratia clematidea",59.0667454223272,"",59.0667454223272,"Gallagher_field_workPHD"
"1239","Cayratia clematidea",37.9218809252939,"",37.9218809252939,"Gallagher_field_workPHD"
"1401","Cayratia clematidea",49.189,"m2/kg",NA,"Gallagher_field_workPHD"
"1434","Cayratia clematidea",NA,"",NA,"AUSTRAITS_dataset_52"
"1670","Cayratia clematidea",NA,"",NA,"NSW flora online "
"1671","Cayratia clematidea",NA,"",NA,"AUSTRAITS_dataset_24"
"1672","Cayratia clematidea",NA,"",NA,"AUSTRAITS_dataset_26"
"1673","Cayratia clematidea",NA,"",NA,"AUSTRAITS_dataset_6"
"1674","Cayratia clematidea",NA,"",NA,"Gallagher_field_workPHD"
"1675","Cayratia clematidea",NA,"",NA,"Gallagher_field_workPHD"
"1676","Cestrum nocturnum",NA,"",NA,"NSW flora online "
"1677","Cestrum nocturnum",NA,"",NA,"AUSTRAITS_dataset_53"
"1435","Cinnamomum camphora",NA,"",NA,"AUSTRAITS_dataset_52"
"1678","Cinnamomum camphora",NA,"",NA,"AUSTRAITS_dataset_53"
"496","Cinnamomum oliveri",NA,"",NA,"AUSTRAITS_dataset_68"
"497","Cinnamomum oliveri",NA,"",NA,"AUSTRAITS_dataset_68"
"498","Cinnamomum oliveri",NA,"",NA,"AUSTRAITS_dataset_68"
"793","Cinnamomum oliveri",NA,"",NA,"AUSTRAITS_dataset_49"
"1679","Cinnamomum oliveri",NA,"",NA,"AUSTRAITS_dataset_34"
"1680","Cinnamomum oliveri",NA,"",NA,"AUSTRAITS_dataset_34"
"318","Cissus antarctica",NA,"",NA,"Gallagher_field_workPHD"
"399","Cissus antarctica",11.076,"m2/kg",NA,"AUSTRAITS_dataset_52"
"472","Cissus antarctica",NA,"",NA,"AUSTRAITS_dataset_68"
"473","Cissus antarctica",NA,"",NA,"AUSTRAITS_dataset_68"
"816","Cissus antarctica",NA,"",NA,"AUSTRAITS_dataset_68"
"817","Cissus antarctica",NA,"",NA,"Gallagher_field_workPHD"
"829","Cissus antarctica",NA,"",NA,"AUSTRAITS_dataset_68"
"830","Cissus antarctica",NA,"",NA,"Gallagher_field_workPHD"
"855","Cissus antarctica",NA,"",NA,"AUSTRAITS_dataset_68"
"856","Cissus antarctica",NA,"",NA,"Gallagher_field_workPHD"
"912","Cissus antarctica",11.076,"m2/kg",NA,"AUSTRAITS_dataset_8"
"913","Cissus antarctica",NA,"",NA,"AUSTRAITS_dataset_68"
"961","Cissus antarctica",NA,"",NA,"AUSTRAITS_dataset_68"
"962","Cissus antarctica",NA,"",NA,"Gallagher_field_workPHD"
"966","Cissus antarctica",NA,"",NA,"Gallagher_field_workPHD"
"969","Cissus antarctica",NA,"",NA,"AUSTRAITS_dataset_49"
"991","Cissus antarctica",NA,"",NA,"AUSTRAITS_dataset_68"
"992","Cissus antarctica",NA,"",NA,"Gallagher_field_workPHD"
"1024","Cissus antarctica",NA,"",NA,"AUSTRAITS_dataset_68"
"1025","Cissus antarctica",NA,"",NA,"AUSTRAITS_dataset_68"
"1026","Cissus antarctica",NA,"",NA,"Gallagher_field_workPHD"
"1086","Cissus antarctica",18.973,"m2/kg",NA,"AUSTRAITS_dataset_52"
"1096","Cissus antarctica",18.973,"m2/kg",NA,"AUSTRAITS_dataset_8"
"1098","Cissus antarctica",NA,"",NA,"AUSTRAITS_dataset_68"
"1250","Cissus antarctica",21.9298245614035,"",21.9298245614035,"Gallagher_field_workPHD"
"1261","Cissus antarctica",20.3583061889251,"",20.3583061889251,"Gallagher_field_workPHD"
"1269","Cissus antarctica",18.2781941144215,"",18.2781941144215,"Gallagher_field_workPHD"
"1270","Cissus antarctica",18.1554103122731,"",18.1554103122731,"Gallagher_field_workPHD"
"1271","Cissus antarctica",17.0299727520436,"",17.0299727520436,"Gallagher_field_workPHD"
"1272","Cissus antarctica",15.053439710974,"",15.053439710974,"Gallagher_field_workPHD"
"1273","Cissus antarctica",10.51745898191,"",10.51745898191,"Gallagher_field_workPHD"
"1390","Cissus antarctica",15.024,"m2/kg",NA,"Gallagher_field_workPHD"
"1681","Cissus antarctica",NA,"",NA,"AUSTRAITS_dataset_24"
"1682","Cissus antarctica",NA,"",NA,"NSW flora online "
"1683","Cissus antarctica",NA,"",NA,"AUSTRAITS_dataset_53"
"1684","Cissus antarctica",NA,"",NA,"AUSTRAITS_dataset_6"
"1685","Cissus antarctica",NA,"",NA,"Gallagher_field_workPHD"
"2237","Cissus antarctica",NA,"",NA,"Lawson_field_work"
"2277","Cissus antarctica",NA,"",NA,"Moles 2004 Seed database"
"145","Cissus hypoglauca",8.528,"m2/kg",NA,"AUSTRAITS_dataset_52"
"303","Cissus hypoglauca",NA,"",NA,"AUSTRAITS_dataset_68"
"304","Cissus hypoglauca",NA,"",NA,"Gallagher_field_workPHD"
"327","Cissus hypoglauca",8.528,"m2/kg",NA,"AUSTRAITS_dataset_8"
"328","Cissus hypoglauca",NA,"",NA,"AUSTRAITS_dataset_68"
"392","Cissus hypoglauca",NA,"",NA,"Gallagher_field_workPHD"
"393","Cissus hypoglauca",NA,"",NA,"AUSTRAITS_dataset_68"
"396","Cissus hypoglauca",NA,"",NA,"Gallagher_field_workPHD"
"415","Cissus hypoglauca",NA,"",NA,"AUSTRAITS_dataset_68"
"416","Cissus hypoglauca",NA,"",NA,"AUSTRAITS_dataset_68"
"427","Cissus hypoglauca",NA,"",NA,"Gallagher_field_workPHD"
"428","Cissus hypoglauca",NA,"",NA,"AUSTRAITS_dataset_68"
"452","Cissus hypoglauca",NA,"",NA,"AUSTRAITS_dataset_68"
"453","Cissus hypoglauca",NA,"",NA,"Gallagher_field_workPHD"
"468","Cissus hypoglauca",NA,"",NA,"AUSTRAITS_dataset_68"
"469","Cissus hypoglauca",NA,"",NA,"AUSTRAITS_dataset_68"
"470","Cissus hypoglauca",NA,"",NA,"AUSTRAITS_dataset_68"
"471","Cissus hypoglauca",NA,"",NA,"Gallagher_field_workPHD"
"556","Cissus hypoglauca",13.22,"m2/kg",NA,"AUSTRAITS_dataset_10"
"616","Cissus hypoglauca",NA,"",NA,"AUSTRAITS_dataset_49"
"758","Cissus hypoglauca",12.16,"cm2/g",NA,"AUSTRAITS_dataset_3"
"771","Cissus hypoglauca",NA,"",NA,"AUSTRAITS_dataset_68"
"772","Cissus hypoglauca",NA,"",NA,"AUSTRAITS_dataset_68"
"784","Cissus hypoglauca",15.833,"m2/kg",NA,"AUSTRAITS_dataset_52"
"785","Cissus hypoglauca",15.833,"m2/kg",NA,"AUSTRAITS_dataset_8"
"786","Cissus hypoglauca",NA,"",NA,"AUSTRAITS_dataset_68"
"1274","Cissus hypoglauca",26.6524520255863,"",26.6524520255863,"Gallagher_field_workPHD"
"1275","Cissus hypoglauca",19.657951641439,"",19.657951641439,"Gallagher_field_workPHD"
"1276","Cissus hypoglauca",12.5078173858662,"",12.5078173858662,"Gallagher_field_workPHD"
"1277","Cissus hypoglauca",12.0889748549323,"",12.0889748549323,"Gallagher_field_workPHD"
"1278","Cissus hypoglauca",10.8260257659413,"",10.8260257659413,"Gallagher_field_workPHD"
"1387","Cissus hypoglauca",12.18,"m2/kg",NA,"Gallagher_field_workPHD"
"1436","Cissus hypoglauca",NA,"",NA,"AUSTRAITS_dataset_52"
"1437","Cissus hypoglauca",NA,"",NA,"AUSTRAITS_dataset_52"
"1686","Cissus hypoglauca",NA,"",NA,"AUSTRAITS_dataset_24"
"1687","Cissus hypoglauca",NA,"",NA,"NSW flora online "
"1688","Cissus hypoglauca",NA,"",NA,"AUSTRAITS_dataset_53"
"1689","Cissus hypoglauca",NA,"",NA,"AUSTRAITS_dataset_6"
"1690","Cissus hypoglauca",NA,"",NA,"Gallagher_field_workPHD"
"905","Citronella moorei",NA,"",NA,"AUSTRAITS_dataset_68"
"906","Citronella moorei",NA,"",NA,"AUSTRAITS_dataset_68"
"934","Citronella moorei",NA,"",NA,"AUSTRAITS_dataset_49"
"1691","Citronella moorei",NA,"",NA,"NSW flora online "
"1692","Citronella moorei",NA,"",NA,"AUSTRAITS_dataset_34"
"1693","Citronella moorei",NA,"",NA,"AUSTRAITS_dataset_34"
"1694","Citronella moorei",NA,"",NA,"AUSTRAITS_dataset_34"
"1695","Citronella moorei",NA,"",NA,"AUSTRAITS_dataset_34"
"313","Cleistanthus cunninghamii",NA,"",NA,"AUSTRAITS_dataset_68"
"314","Cleistanthus cunninghamii",NA,"",NA,"AUSTRAITS_dataset_68"
"330","Cleistanthus cunninghamii",NA,"",NA,"AUSTRAITS_dataset_49"
"621","Cleistanthus cunninghamii",NA,"",NA,"AUSTRAITS_dataset_68"
"622","Cleistanthus cunninghamii",12.618,"m2/kg",NA,"AUSTRAITS_dataset_28"
"623","Cleistanthus cunninghamii",NA,"",NA,"Gallagher_field_workPHD"
"700","Cleistanthus cunninghamii",11.409,"m2/kg",NA,"AUSTRAITS_dataset_28"
"996","Cleistanthus cunninghamii",11.487,"m2/kg",NA,"AUSTRAITS_dataset_28"
"1280","Cleistanthus cunninghamii",12.3076923076923,"",12.3076923076923,"Gallagher_field_workPHD"
"215","Clematis aristata",NA,"",NA,"AUSTRAITS_dataset_68"
"216","Clematis aristata",NA,"",NA,"AUSTRAITS_dataset_68"
"217","Clematis aristata",NA,"",NA,"AUSTRAITS_dataset_68"
"276","Clematis aristata",NA,"",NA,"AUSTRAITS_dataset_49"
"657","Clematis aristata",NA,"",NA,"Gallagher_field_workPHD"
"658","Clematis aristata",NA,"",NA,"AUSTRAITS_dataset_68"
"878","Clematis aristata",NA,"",NA,"AUSTRAITS_dataset_68"
"879","Clematis aristata",NA,"",NA,"AUSTRAITS_dataset_68"
"880","Clematis aristata",NA,"",NA,"Gallagher_field_workPHD"
"881","Clematis aristata",30.771,"m2/kg",NA,"AUSTRAITS_dataset_8"
"882","Clematis aristata",NA,"",NA,"AUSTRAITS_dataset_68"
"1053","Clematis aristata",NA,"",NA,"Gallagher_field_workPHD"
"1281","Clematis aristata",13.294336612603,"",13.294336612603,"Gallagher_field_workPHD"
"1282","Clematis aristata",12.8155837498398,"",12.8155837498398,"Gallagher_field_workPHD"
"1397","Clematis aristata",30.771,"m2/kg",NA,"Gallagher_field_workPHD"
"1414","Clematis aristata",30.88,"m2/kg",NA,"AUSTRAITS_dataset_10"
"1438","Clematis aristata",NA,"",NA,"AUSTRAITS_dataset_52"
"1439","Clematis aristata",NA,"",NA,"AUSTRAITS_dataset_52"
"1696","Clematis aristata",NA,"",NA,"AUSTRAITS_dataset_24"
"1697","Clematis aristata",NA,"",NA,"NSW flora online "
"1698","Clematis aristata",NA,"",NA,"AUSTRAITS_dataset_26"
"1699","Clematis aristata",NA,"",NA,"AUSTRAITS_dataset_53"
"1700","Clematis aristata",NA,"",NA,"AUSTRAITS_dataset_6"
"1701","Clematis aristata",NA,"",NA,"Gallagher_field_workPHD"
"2238","Clematis aristata",NA,"",NA,"Lawson_field_work"
"2278","Clematis aristata",NA,"",NA,"Kew SID"
"1095","Clerodendrum floribundum",NA,"",NA,"AUSTRAITS_dataset_49"
"1103","Clerodendrum floribundum",NA,"",NA,"AUSTRAITS_dataset_56"
"1440","Clerodendrum floribundum",NA,"",NA,"AUSTRAITS_dataset_52"
"1441","Clerodendrum floribundum",NA,"",NA,"AUSTRAITS_dataset_52"
"1702","Clerodendrum floribundum",NA,"",NA,"NSW flora online "
"1703","Clerodendrum floribundum",NA,"",NA,"AUSTRAITS_dataset_25"
"1045","Commersonia bartramia",NA,"",NA,"Gallagher_field_workPHD"
"1049","Commersonia bartramia",NA,"",NA,"AUSTRAITS_dataset_68"
"1084","Commersonia bartramia",NA,"",NA,"AUSTRAITS_dataset_49"
"1283","Commersonia bartramia",11.5035085701139,"",11.5035085701139,"Gallagher_field_workPHD"
"1442","Commersonia bartramia",NA,"",NA,"AUSTRAITS_dataset_52"
"1704","Commersonia bartramia",NA,"",NA,"AUSTRAITS_dataset_34"
"1705","Commersonia bartramia",NA,"",NA,"AUSTRAITS_dataset_34"
"1706","Commersonia bartramia",NA,"",NA,"AUSTRAITS_dataset_53"
"1707","Commersonia bartramia",NA,"",NA,"Gallagher_field_workPHD"
"517","Croton acronychioides",NA,"",NA,"AUSTRAITS_dataset_49"
"454","Cryptocarya bidwillii",NA,"",NA,"AUSTRAITS_dataset_49"
"363","Cryptocarya glaucescens",10.87,"m2/kg",NA,"AUSTRAITS_dataset_10"
"456","Cryptocarya glaucescens",NA,"",NA,"AUSTRAITS_dataset_68"
"491","Cryptocarya glaucescens",NA,"",NA,"AUSTRAITS_dataset_68"
"534","Cryptocarya glaucescens",NA,"",NA,"AUSTRAITS_dataset_49"
"762","Cryptocarya glaucescens",NA,"",NA,"AUSTRAITS_dataset_68"
"844","Cryptocarya glaucescens",10.72,"m2/kg",NA,"AUSTRAITS_dataset_8"
"860","Cryptocarya glaucescens",9.762,"m2/kg",NA,"AUSTRAITS_dataset_8"
"861","Cryptocarya glaucescens",NA,"",NA,"AUSTRAITS_dataset_68"
"1443","Cryptocarya glaucescens",NA,"",NA,"AUSTRAITS_dataset_52"
"1444","Cryptocarya glaucescens",NA,"",NA,"AUSTRAITS_dataset_52"
"1445","Cryptocarya glaucescens",NA,"",NA,"AUSTRAITS_dataset_52"
"1708","Cryptocarya glaucescens",NA,"",NA,"AUSTRAITS_dataset_24"
"1709","Cryptocarya glaucescens",NA,"",NA,"AUSTRAITS_dataset_26"
"1710","Cryptocarya glaucescens",NA,"",NA,"AUSTRAITS_dataset_34"
"1711","Cryptocarya glaucescens",NA,"",NA,"AUSTRAITS_dataset_34"
"1712","Cryptocarya glaucescens",NA,"",NA,"AUSTRAITS_dataset_34"
"1713","Cryptocarya glaucescens",NA,"",NA,"AUSTRAITS_dataset_34"
"2239","Cryptocarya glaucescens",10.34936337,"m2/kg",NA,"Lawson_field_work"
"2279","Cryptocarya glaucescens",NA,"",NA,"Kew SID"
"298","Cryptocarya laevigata",NA,"",NA,"AUSTRAITS_dataset_68"
"736","Cryptocarya laevigata",11.4942528735632,"",11.4942528735632,"AUSTRAITS_dataset_32"
"737","Cryptocarya laevigata",NA,"",NA,"AUSTRAITS_dataset_68"
"740","Cryptocarya laevigata",NA,"",NA,"AUSTRAITS_dataset_49"
"1385","Cryptocarya laevigata",11.4758,"cm2/g",NA,"AUSTRAITS_dataset_67"
"814","Cryptocarya macdonaldii",NA,"",NA,"AUSTRAITS_dataset_49"
"457","Cryptocarya obovata",NA,"",NA,"AUSTRAITS_dataset_68"
"458","Cryptocarya obovata",NA,"",NA,"AUSTRAITS_dataset_68"
"486","Cryptocarya obovata",NA,"",NA,"AUSTRAITS_dataset_49"
"1714","Cryptocarya obovata",NA,"",NA,"AUSTRAITS_dataset_34"
"1715","Cryptocarya obovata",NA,"",NA,"AUSTRAITS_dataset_34"
"1716","Cryptocarya obovata",NA,"",NA,"AUSTRAITS_dataset_34"
"360","Cryptocarya sclerophylla",NA,"",NA,"AUSTRAITS_dataset_49"
"384","Cryptocarya triplinervis",NA,"",NA,"AUSTRAITS_dataset_68"
"395","Cryptocarya triplinervis",NA,"",NA,"Gallagher_field_workPHD"
"1284","Cryptocarya triplinervis",10.673497705198,"",10.673497705198,"Gallagher_field_workPHD"
"1717","Cryptocarya triplinervis",NA,"",NA,"AUSTRAITS_dataset_34"
"1718","Cryptocarya triplinervis",NA,"",NA,"AUSTRAITS_dataset_4"
"1719","Cryptocarya triplinervis",NA,"",NA,"AUSTRAITS_dataset_53"
"1720","Cryptocarya triplinervis",NA,"",NA,"Gallagher_field_workPHD"
"176","Cupaniopsis anacardioides",9.287,"m2/kg",NA,"AUSTRAITS_dataset_52"
"502","Cupaniopsis anacardioides",12.14,"m2/kg",NA,"AUSTRAITS_dataset_52"
"733","Cupaniopsis anacardioides",NA,"",NA,"AUSTRAITS_dataset_68"
"810","Cupaniopsis anacardioides",NA,"",NA,"Gallagher_field_workPHD"
"890","Cupaniopsis anacardioides",NA,"",NA,"Gallagher_field_workPHD"
"899","Cupaniopsis anacardioides",NA,"",NA,"Gallagher_field_workPHD"
"936","Cupaniopsis anacardioides",NA,"",NA,"AUSTRAITS_dataset_56"
"937","Cupaniopsis anacardioides",NA,"",NA,"AUSTRAITS_dataset_49"
"968","Cupaniopsis anacardioides",NA,"",NA,"Gallagher_field_workPHD"
"989","Cupaniopsis anacardioides",NA,"",NA,"AUSTRAITS_dataset_68"
"1285","Cupaniopsis anacardioides",12.5250501002004,"",12.5250501002004,"Gallagher_field_workPHD"
"1286","Cupaniopsis anacardioides",11.5700566932778,"",11.5700566932778,"Gallagher_field_workPHD"
"1287","Cupaniopsis anacardioides",10.0735368187771,"",10.0735368187771,"Gallagher_field_workPHD"
"1288","Cupaniopsis anacardioides",9.94134605825629,"",9.94134605825629,"Gallagher_field_workPHD"
"1446","Cupaniopsis anacardioides",NA,"",NA,"AUSTRAITS_dataset_52"
"1721","Cupaniopsis anacardioides",NA,"",NA,"NSW flora online "
"1722","Cupaniopsis anacardioides",NA,"",NA,"AUSTRAITS_dataset_32"
"1723","Cupaniopsis anacardioides",NA,"",NA,"AUSTRAITS_dataset_34"
"1724","Cupaniopsis anacardioides",NA,"",NA,"AUSTRAITS_dataset_53"
"1725","Cupaniopsis anacardioides",NA,"",NA,"Gallagher_field_workPHD"
"1726","Cupaniopsis anacardioides",NA,"",NA,"AUSTRAITS_dataset_17"
"1727","Cupaniopsis anacardioides",NA,"",NA,"AUSTRAITS_dataset_4"
"639","Cupaniopsis newmanii",NA,"",NA,"AUSTRAITS_dataset_68"
"681","Cupaniopsis newmanii",NA,"",NA,"AUSTRAITS_dataset_49"
"394","Cupaniopsis serrata",NA,"",NA,"AUSTRAITS_dataset_49"
"589","Cyclophyllum coprosmoides",NA,"",NA,"AUSTRAITS_dataset_49"
"1728","Cyperus involucratus",NA,"",NA,"AUSTRAITS_dataset_53"
"504","Daphnandra apatela",NA,"",NA,"AUSTRAITS_dataset_68"
"505","Daphnandra apatela",NA,"",NA,"AUSTRAITS_dataset_68"
"541","Daphnandra apatela",NA,"",NA,"AUSTRAITS_dataset_49"
"331","Daphnandra tenuipes",NA,"",NA,"AUSTRAITS_dataset_68"
"350","Daphnandra tenuipes",NA,"",NA,"AUSTRAITS_dataset_49"
"190","Derris involuta",NA,"",NA,"AUSTRAITS_dataset_49"
"1729","Derris involuta",NA,"",NA,"NSW flora online "
"1730","Derris involuta",NA,"",NA,"AUSTRAITS_dataset_6"
"185","Dioscorea transversa",NA,"",NA,"AUSTRAITS_dataset_68"
"186","Dioscorea transversa",44.244,"m2/kg",NA,"AUSTRAITS_dataset_8"
"333","Dioscorea transversa",51.646,"m2/kg",NA,"AUSTRAITS_dataset_8"
"334","Dioscorea transversa",NA,"",NA,"AUSTRAITS_dataset_68"
"391","Dioscorea transversa",NA,"",NA,"Gallagher_field_workPHD"
"435","Dioscorea transversa",NA,"",NA,"AUSTRAITS_dataset_68"
"436","Dioscorea transversa",NA,"",NA,"Gallagher_field_workPHD"
"562","Dioscorea transversa",NA,"",NA,"Gallagher_field_workPHD"
"715","Dioscorea transversa",NA,"",NA,"AUSTRAITS_dataset_68"
"716","Dioscorea transversa",NA,"",NA,"Gallagher_field_workPHD"
"774","Dioscorea transversa",NA,"",NA,"AUSTRAITS_dataset_68"
"775","Dioscorea transversa",NA,"",NA,"AUSTRAITS_dataset_68"
"776","Dioscorea transversa",NA,"",NA,"AUSTRAITS_dataset_68"
"848","Dioscorea transversa",NA,"",NA,"AUSTRAITS_dataset_68"
"849","Dioscorea transversa",NA,"",NA,"Gallagher_field_workPHD"
"1013","Dioscorea transversa",NA,"",NA,"AUSTRAITS_dataset_49"
"1289","Dioscorea transversa",40.3388463089956,"",40.3388463089956,"Gallagher_field_workPHD"
"1291","Dioscorea transversa",39.9201596806387,"",39.9201596806387,"Gallagher_field_workPHD"
"1292","Dioscorea transversa",39.4321766561514,"",39.4321766561514,"Gallagher_field_workPHD"
"1293","Dioscorea transversa",35.2236703064459,"",35.2236703064459,"Gallagher_field_workPHD"
"1400","Dioscorea transversa",47.945,"m2/kg",NA,"Gallagher_field_workPHD"
"1447","Dioscorea transversa",NA,"",NA,"AUSTRAITS_dataset_52"
"1731","Dioscorea transversa",NA,"",NA,"NSW flora online "
"1732","Dioscorea transversa",NA,"",NA,"AUSTRAITS_dataset_24"
"1733","Dioscorea transversa",NA,"",NA,"AUSTRAITS_dataset_6"
"1734","Dioscorea transversa",NA,"",NA,"Gallagher_field_workPHD"
"46","Diospyros australis",6.065,"m2/kg",NA,"AUSTRAITS_dataset_52"
"59","Diospyros australis",6.576,"m2/kg",NA,"AUSTRAITS_dataset_52"
"63","Diospyros australis",6.71,"m2/kg",NA,"AUSTRAITS_dataset_10"
"89","Diospyros australis",7.395,"m2/kg",NA,"AUSTRAITS_dataset_52"
"129","Diospyros australis",8.291,"m2/kg",NA,"AUSTRAITS_dataset_52"
"325","Diospyros australis",NA,"",NA,"AUSTRAITS_dataset_49"
"364","Diospyros australis",6.065,"m2/kg",NA,"AUSTRAITS_dataset_8"
"365","Diospyros australis",NA,"",NA,"AUSTRAITS_dataset_68"
"380","Diospyros australis",8.75,"cm2/g",NA,"AUSTRAITS_dataset_3"
"389","Diospyros australis",NA,"",NA,"AUSTRAITS_dataset_68"
"508","Diospyros australis",7.395,"m2/kg",NA,"AUSTRAITS_dataset_8"
"510","Diospyros australis",NA,"",NA,"AUSTRAITS_dataset_68"
"525","Diospyros australis",6.576,"m2/kg",NA,"AUSTRAITS_dataset_8"
"533","Diospyros australis",NA,"",NA,"Gallagher_field_workPHD"
"580","Diospyros australis",NA,"",NA,"Gallagher_field_workPHD"
"603","Diospyros australis",NA,"",NA,"AUSTRAITS_dataset_68"
"605","Diospyros australis",8.291,"m2/kg",NA,"AUSTRAITS_dataset_8"
"638","Diospyros australis",NA,"",NA,"Gallagher_field_workPHD"
"1294","Diospyros australis",7.82227784730914,"",7.82227784730914,"Gallagher_field_workPHD"
"1295","Diospyros australis",7.36756796581449,"",7.36756796581449,"Gallagher_field_workPHD"
"1296","Diospyros australis",7.23327305605787,"",7.23327305605787,"Gallagher_field_workPHD"
"1359","Diospyros australis",6.17283950617284,"",6.17283950617284,"AUSTRAITS_dataset_32"
"1448","Diospyros australis",NA,"",NA,"AUSTRAITS_dataset_52"
"1735","Diospyros australis",NA,"",NA,"AUSTRAITS_dataset_26"
"1736","Diospyros australis",NA,"",NA,"AUSTRAITS_dataset_34"
"1737","Diospyros australis",NA,"",NA,"Gallagher_field_workPHD"
"723","Diospyros fasciculosa",NA,"",NA,"AUSTRAITS_dataset_68"
"753","Diospyros fasciculosa",NA,"",NA,"AUSTRAITS_dataset_49"
"419","Diospyros geminata",NA,"",NA,"AUSTRAITS_dataset_49"
"277","Diospyros pentamera",NA,"",NA,"AUSTRAITS_dataset_68"
"278","Diospyros pentamera",NA,"",NA,"AUSTRAITS_dataset_68"
"279","Diospyros pentamera",NA,"",NA,"AUSTRAITS_dataset_68"
"335","Diospyros pentamera",NA,"",NA,"Gallagher_field_workPHD"
"355","Diospyros pentamera",NA,"",NA,"Gallagher_field_workPHD"
"376","Diospyros pentamera",NA,"",NA,"AUSTRAITS_dataset_49"
"417","Diospyros pentamera",NA,"",NA,"Gallagher_field_workPHD"
"567","Diospyros pentamera",NA,"",NA,"Gallagher_field_workPHD"
"1297","Diospyros pentamera",9.47059380623165,"",9.47059380623165,"Gallagher_field_workPHD"
"1298","Diospyros pentamera",8.45880561664693,"",8.45880561664693,"Gallagher_field_workPHD"
"1299","Diospyros pentamera",8.40477391158178,"",8.40477391158178,"Gallagher_field_workPHD"
"1300","Diospyros pentamera",7.06065099202146,"",7.06065099202146,"Gallagher_field_workPHD"
"1449","Diospyros pentamera",NA,"",NA,"AUSTRAITS_dataset_52"
"1738","Diospyros pentamera",NA,"",NA,"AUSTRAITS_dataset_34"
"1739","Diospyros pentamera",NA,"",NA,"AUSTRAITS_dataset_34"
"1740","Diospyros pentamera",NA,"",NA,"Gallagher_field_workPHD"
"1125","Diploglottis australis",NA,"",NA,"AUSTRAITS_dataset_68"
"1126","Diploglottis australis",NA,"",NA,"AUSTRAITS_dataset_68"
"1131","Diploglottis australis",NA,"",NA,"AUSTRAITS_dataset_49"
"1133","Diploglottis australis",NA,"",NA,"AUSTRAITS_dataset_68"
"1741","Diploglottis australis",NA,"",NA,"NSW flora online "
"1742","Diploglottis australis",NA,"",NA,"AUSTRAITS_dataset_34"
"1743","Diploglottis australis",NA,"",NA,"AUSTRAITS_dataset_34"
"1744","Diploglottis australis",NA,"",NA,"AUSTRAITS_dataset_34"
"734","Dissiliaria baloghioides",NA,"",NA,"AUSTRAITS_dataset_49"
"1745","Dissiliaria baloghioides",NA,"",NA,"AUSTRAITS_dataset_34"
"1746","Dissiliaria baloghioides",NA,"",NA,"AUSTRAITS_dataset_34"
"1747","Dissiliaria baloghioides",NA,"",NA,"AUSTRAITS_dataset_34"
"612","drypetes deplanchei",NA,"",NA,"AUSTRAITS_dataset_29"
"341","Drypetes deplanchei",NA,"",NA,"AUSTRAITS_dataset_68"
"431","Drypetes deplanchei",NA,"",NA,"Gallagher_field_workPHD"
"482","Drypetes deplanchei",NA,"",NA,"AUSTRAITS_dataset_49"
"544","Drypetes deplanchei",NA,"",NA,"Gallagher_field_workPHD"
"614","Drypetes deplanchei",NA,"",NA,"Gallagher_field_workPHD"
"664","Drypetes deplanchei",NA,"",NA,"Gallagher_field_workPHD"
"1302","Drypetes deplanchei",12.0148984741079,"",12.0148984741079,"Gallagher_field_workPHD"
"1303","Drypetes deplanchei",10.3852944230969,"",10.3852944230969,"Gallagher_field_workPHD"
"1304","Drypetes deplanchei",9.44733112895607,"",9.44733112895607,"Gallagher_field_workPHD"
"1305","Drypetes deplanchei",9.38174312787316,"",9.38174312787316,"Gallagher_field_workPHD"
"1748","Drypetes deplanchei",NA,"",NA,"AUSTRAITS_dataset_34"
"1749","Drypetes deplanchei",NA,"",NA,"AUSTRAITS_dataset_34"
"1750","Drypetes deplanchei",NA,"",NA,"AUSTRAITS_dataset_34"
"1751","Drypetes deplanchei",NA,"",NA,"AUSTRAITS_dataset_34"
"1752","Drypetes deplanchei",NA,"",NA,"AUSTRAITS_dataset_34"
"1753","Drypetes deplanchei",NA,"",NA,"AUSTRAITS_dataset_53"
"1754","Drypetes deplanchei",NA,"",NA,"Gallagher_field_workPHD"
"789","Dysoxylum rufum",NA,"",NA,"AUSTRAITS_dataset_68"
"916","Dysoxylum rufum",NA,"",NA,"AUSTRAITS_dataset_49"
"1043","Dysoxylum rufum",NA,"",NA,"Gallagher_field_workPHD"
"1306","Dysoxylum rufum",24.5459008345606,"",24.5459008345606,"Gallagher_field_workPHD"
"1450","Dysoxylum rufum",NA,"",NA,"AUSTRAITS_dataset_52"
"1755","Dysoxylum rufum",NA,"",NA,"AUSTRAITS_dataset_34"
